ID,W_L,W_R,E_d_sh,N_t_sh,N_t_d,mu_e
ea42f592-31b1-4fa9-853b-ac4536b215ab,4.269619650766254,4.441631365846843,4.394456512909382,4.5258117454855926e+22,6.569667631909995e+21,3.03231697062286e-08
a7fe0246-ebda-4dc3-aca3-d2360a6fdeeb,4.421154737379402,4.258737467229366,4.257728187609464,7.39764361402459e+23,3.622982497840152e+20,2.5534107709922525e-07
80b8b8dd-f853-46a0-8c78-6bdc5a168f97,4.451097446959466,4.379503711871803,4.438878146205098,2.9123290422790855e+22,1.2525175203153563e+20,7.462622202516938e-07
519a113f-1754-4cac-95f8-56298f07f3fd,4.295628176629544,4.3183749505318705,4.310782750602812,1.1495663070911952e+23,1.8999853404413467e+21,6.269904946255183e-08
d088d97a-d7eb-4887-b784-9b9a010b8315,4.291599003318697,4.495644755009562,4.420998778995127,8.645015884157849e+23,1.983420460389738e+20,5.4492014740923066e-08
17befa0e-81f2-4023-be11-b44d11b1bca2,4.436669608019292,4.200470873527229,4.296204022262246,3.86843794554223e+22,1.1806721381885723e+21,4.866396322979215e-07
cadd6d5a-7ce4-4016-af96-a4b5d8dd9b39,4.391050772555173,4.400777851045132,4.408585061896592,1.7591505661735348e+23,3.2893962198866807e+21,1.2479353526476136e-07
b77af231-148e-4c4d-a4ed-34988293046d,4.243180665839463,4.302515591215342,4.276173281352967,1.9010054095458934e+22,7.118415380006205e+20,1.1119625706706575e-08
98cdcf4f-5337-47af-ae41-29815db58348,4.205028890445829,4.359217987395823,4.332807199526578,1.7343235327267978e+22,4.5315728314733167e+20,9.400436860269053e-08
08a692a8-5624-4fc7-a3d5-496de3c26ad2,4.354201335366815,4.345257480908185,4.449476931076497,1.852838313288977e+23,9.446588848000566e+21,8.226815732317831e-07
7ff23774-b110-402e-81fa-510d0c155ccb,4.473519049119204,4.444636656995863,4.239635566230863,8.36902796653528e+22,2.732000611640021e+21,2.3082814926591754e-07
