ID,W_L,W_R,E_d_sh,N_t_sh,N_t_d,mu_e
ad6c0483-f032-4b2d-8f62-6a17a171a8fc,4.347261416818947,4.373901939578355,4.298155811056494,4.47891169506227e+23,1.1674016236063542e+21,7.63163660138158e-08
ef14cfb0-79dd-46a3-a4d5-5f64c26033a4,4.493513042852283,4.322219422180206,4.417110706605017,7.437121569495607e+22,2.042096473548442e+20,8.866417980911848e-07
3731efbd-f3e5-40c4-8431-0a0be9bda6a6,4.369354413449765,4.429071648325771,4.269460503868759,2.9345649295489708e+23,7.070984265934462e+20,1.8739519554868133e-07
8329ed56-1bd4-44b5-a6d2-ea3ac67e5684,4.227371138613671,4.274227509275079,4.413298079222441,1.1351381577862524e+22,3.372036445343131e+21,2.1820543292770043e-08
63434139-edb4-474c-a871-04dc0558fb0e,4.265374216251075,4.481178249511868,4.453650384061039,2.8462754128965195e+22,9.552799593786268e+21,4.384258765542381e-08
ed988e1b-ef39-4c3e-8429-8e9140c869ba,4.406352700386196,4.223282348178327,4.326570509821177,1.1334027190713453e+23,4.400670538446599e+20,5.197778318647458e-07
d6352997-4ecc-4c80-9b88-b7f730f5072b,4.45651476206258,4.416706772893667,4.376696910783648,4.4222213177931345e+22,1.5773300328340718e+20,1.0040500549252115e-07
7ac2438e-e447-49e4-90ce-90b56e29b71c,4.309258344210685,4.28057600883767,4.240984310247004,7.295182318844076e+23,2.6654677855040554e+21,1.187682805683499e-08
4d6aed10-f664-4531-b463-9e0675bb089f,4.277982503827661,4.459615713637322,4.3582660735026,1.7211820971844992e+23,2.5368795728952872e+20,2.447779640143562e-08
8276f61c-7a5d-4043-b60b-9d2886f46f32,4.431247650459409,4.239439257234335,4.226869771704077,1.8763887107073093e+22,1.6822671819055458e+21,2.761032020185116e-07
93689f82-67a5-4180-a52c-51ee38e9b1b7,4.40583915039897,4.362404989264905,4.468211380690336,8.45666290107755e+23,4.859236227949508e+21,6.024058973144252e-07
54dd7b04-e864-4a73-8fbc-07ad541dab9b,4.247430751752108,4.339140154514462,4.344432399086655,3.819141129501762e+22,8.784242196149156e+20,6.779718964856503e-08
402eaeef-4e04-4620-8dbb-b8539956164d,4.210450776480139,4.39466309286654,4.255395554453134,8.555429373786163e+22,3.5341926635900725e+20,1.409388460995774e-08
c23b24bd-c7c3-4a6b-a88f-cec742784371,4.367817763332278,4.305700011458248,4.394916834942997,3.889082089667615e+23,6.613736158522608e+21,1.6149823287141352e-07
d5f52cbb-f2dd-4016-b37d-de92d46894f4,4.469269034732133,4.48242558510974,4.316099027730525,1.7725818347947492e+22,1.8453927172938772e+21,3.220429969525587e-07
dc9f5a40-c403-4cff-b5e8-90f8cbfca923,4.314962475188077,4.215447366423905,4.431753034517169,1.8771459855968347e+23,1.2667556932340086e+20,3.6985155725633184e-08
c21ff353-f5c2-4a73-9d1a-60441f3329bd,4.318773122224957,4.404615891259164,4.401384755093605,6.684098396427173e+23,7.838824317535382e+21,7.036981488895589e-08
662586a3-89b9-454e-a78e-1d6f576343c2,4.46545361559838,4.296923699229956,4.281413745414466,4.637465766062957e+22,5.36287638805247e+20,6.236838493732832e-07
3a6dd0df-3b4f-4cd4-a27b-55473877f64b,4.359923538006842,4.492414932511747,4.430103874709458,1.0200783182229072e+23,1.4946951554628603e+20,3.072695412017192e-07
f110e5d5-babc-4a2b-9bd2-3d9de6a36544,4.218349675554783,4.206634362135083,4.2852501677908,3.038821072373871e+22,2.812827218075557e+21,2.729444384204062e-08
e070cf81-20bb-4a0b-926f-a03163de4a07,4.255347813293338,4.449674037471413,4.244764946307987,1.0163739298622863e+22,1.1464213407081596e+21,4.115983949922782e-08
58fe6b6e-20ef-4446-ba78-3ea5f16917ea,4.397926467563957,4.248195220436901,4.372860977295787,2.95361479525368e+23,2.0794717822636202e+20,3.5910184678097005e-07
ca3f4e3b-d6df-4bf9-8522-860596a03f2d,4.4274506810121235,4.352426764089614,4.321710522789508,6.5408848907850155e+22,6.01330390341318e+20,1.6762566914536892e-07
799aa88f-ba8f-490f-be70-1a9564f6bd57,4.281774978339672,4.347932809777558,4.458439204525203,4.5897210166988906e+23,3.965146574664533e+21,1.459176953049237e-08
b3aefa16-7512-4c0f-ac1f-2ecb5b926276,4.306019578222186,4.471250587888062,4.340159196387977,1.943051046110867e+23,3.729643223839576e+20,2.259138099398677e-08
91ac7d45-82bf-4d27-8e7b-ec2c913715f7,4.459749068878591,4.232051762659103,4.4725716123171155,1.546719716123523e+22,6.267135893621084e+21,1.9450520693355743e-07
eaedaeac-bbfe-4a6f-8106-d07e0efc0afb,4.414846275933087,4.406742562260479,4.230190076772123,3.954339302379605e+23,2.2488495513200576e+21,9.886714879369099e-07
dfb634e2-5291-4116-aedb-8b0d18b5a7b4,4.256885055173188,4.289382115378976,4.3549851899407805,7.600409034369026e+22,1.0394917732941465e+20,8.493053764706522e-08
7d721ff2-251c-431f-9f7c-df9b2a42ac0d,4.218863813951612,4.383850450906903,4.444158918503672,4.036388237065123e+22,2.9831469400383436e+20,1.3243485825529784e-08
6c4de686-1697-4bc8-b5a7-e34af41bae62,4.377866447623819,4.313438241742552,4.303621481265873,7.670826487858654e+23,1.4306085103356816e+21,1.1173867632750241e-07
8d6fee05-40be-4e23-aacb-97966bfc76ce,4.496728901099414,4.439056708663702,4.383463342022151,1.9479373063026125e+22,4.948081692645915e+21,5.38137337597327e-07
d9c6887e-29cb-400c-aeaf-9b0b27f8db2d,4.34404082223773,4.265409636776894,4.266793254036457,1.5895550328453405e+23,8.626519368846563e+20,4.550622464466871e-08
