Voltage,SE04n7-2_Fwd_Exp,SE04n7-2_Rev_Exp,SE04n7-2_Fwd_Fit,SE04n7-2_Rev_Fit,SE04n7-2_Fwd_Slope_Exp,SE04n7-2_Rev_Slope_Exp,SE04n7-2_Fwd_Slope_Fit,SE04n7-2_Rev_Slope_Fit
0.05067723481057014,0.5642999161813843,0.606599727952727,0.59265554,0.6038469,1.142487803025629,1.3142147028664832,1.0379865,0.8868285
0.053218746614619034,0.5967464316244401,0.6468916573290794,0.62353575,0.63062835,1.138626847493276,1.3044994312798952,1.0465611,1.1070739
0.055887717666874046,0.6308201708555937,0.6892042655072783,0.65657574,0.6729477,1.1311375341598326,1.2857962560103795,1.1041317,1.1863163
0.05869054017056137,0.6666027407044354,0.7336388914622355,0.6946896,0.7082654,1.1240969785500843,1.268478690373612,1.2639216,1.1790859
0.061633926904013835,0.7041798406611246,0.7803019564153968,0.7430292,0.7552601,1.1174737188839168,1.2524167814895897,1.0945797,1.1767468
0.06472492729781917,0.7436414681272336,0.8293052187142669,0.77323985,0.7947158,1.1112389730473726,1.237495964836663,0.92693794,1.0099603
0.06797094431825264,0.7850821339601161,0.8807660414943869,0.8135869,0.83372605,1.1053663613668352,1.2236148492720604,1.12709,1.0980511
0.07137975219742994,0.8286010888270314,0.9348076737648162,0.8634147,0.88487685,1.0998316632696172,1.2106833745676346,1.1191751,1.246342
0.07495951505264427,0.8743025609111463,0.9915595455903192,0.9077636,0.94188356,1.0946126030839554,1.1986212703338333,1.1846012,1.3255062
0.07871880643948095,0.922296005538719,1.0511575780772224,0.9695475,1.0074452,1.089688660976607,1.1873567603160675,1.2969954,1.2233461
0.08266662988553945,0.9726963673253253,1.113744508905358,1.0306224,1.0616801,1.085040905642315,1.1768254676397518,1.0624057,1.245057
0.08681244045394122,1.0256243554689695,1.1794702341857455,1.0757838,1.1379958,1.0806518458709575,1.1669694855414448,1.0701807,1.2484074
0.09116616738826805,1.0812067328494075,1.248492167462765,1.1444213,1.1996521,1.0765052985442738,1.157736585100512,0.93293965,1.0026708
0.09573823789316571,1.1395766196260766,1.320975616720629,1.1786319,1.2553293,1.0870379638060537,1.1755123182454943,0.8646305,1.1483133
0.10053960210756775,1.2025734768505072,1.4007130290373444,1.2454771,1.3423402,1.209889562757767,1.396691806724494,1.346458,1.4505477
0.10558175933035029,1.2828268125513846,1.5144643061404313,1.344644,1.4468082,1.310251499468737,1.5735589014515745,1.4287596,1.3757104
0.11087678556122833,1.3671049298087241,1.6339203186057336,1.4323956,1.5358014,1.2911160418473906,1.5315796213801711,1.2026672,1.0824797
0.11643736242285462,1.455609675267724,1.759367164368866,1.5126026,1.6084964,1.2734074770377264,1.493639081706668,1.2318228,1.2926292
0.12227680753338936,1.548553018375929,1.8911052894506022,1.6159195,1.7429153,1.2569908693749903,1.4592202914797898,1.2366756,1.5091519
0.12840910640228315,1.6461575590514488,2.029450207527063,1.7072135,1.8645082,1.2417474022063688,1.4278903338299456,1.4047694,1.6859753
0.13484894592566424,1.748657060811228,2.1747332555870518,1.8540748,2.055588,1.2275720378154986,1.3992839209823416,1.7995768,1.3237139
0.14161174956155131,1.8562970106362053,2.32730238748632,2.0359921,2.1223974,1.2143715741644003,1.3730906667114091,1.7138056,1.088599
0.14871371426913693,1.96933520691425,2.48752300729934,2.1926532,2.2866795,1.325702945406725,1.532442684837143,1.5050209,1.4730583
0.1561718493006113,2.1134619509226775,2.703877043191315,2.359091,2.4515276,1.453503814766199,1.7132191574114604,1.5821968,1.5428874
0.1640040169384332,2.270380212763203,2.941608393935651,2.5598752,2.659398,1.4477527565509591,1.693404293644189,1.387775,1.523027
0.1722289752756139,2.435168075544452,3.191262199335764,2.7022774,2.8455794,1.417429443236255,1.639080589061372,1.2845014,1.659528
0.18086642314147336,2.608220207281733,3.4534363818977694,2.902783,3.128377,1.3897136485607238,1.5905011456979796,1.5964609,1.713671
0.18993704728046604,2.789951068968865,3.728758850513442,3.1592577,3.365175,1.364311978842471,1.5468497830078274,1.6273736,1.7043552
0.19946257189706987,2.980795907214984,4.0178890043061415,3.403953,3.696239,1.4842361769332761,1.668429971381567,1.809479,1.164742
0.20946581068539888,3.226129277117518,4.390139813297711,3.7713268,3.7714922,1.601057972732681,1.785682348626107,1.8298633,1.1040726
0.21997072146815086,3.486444468021072,4.7851507210061435,4.0715437,4.1180058,1.5642178210178805,1.7298033903499253,1.5590829,1.4892342
0.23100246357575005,3.7598147147682943,5.199971803607141,4.392994,4.3632574,1.5231501007092625,1.6714937102380674,1.602329,1.4364579
0.24258745810310908,4.046894740898328,5.63559656032216,4.762814,4.739597,1.5444148925826262,1.6726574303741195,1.518916,1.6928165
